,Ticker,Price,One year price return,One year return percentile,Six month price return,Six month return percentile,Three month price return,Three month return percentile,One month price return,One month return percentile,momentum score,No. of shares to buy
0,SLB,53.46,0.7966547136140454,99.20318725099601,0.5047032531537974,99.40239043824701,0.49422685080371287,98.60557768924302,0.03637389330350471,97.21115537848605,98.60557768924302,187
1,HAL,39.35,0.732518513952608,98.60557768924302,0.256153075101035,88.44621513944223,0.6036090372640435,100.0,0.04198663291353766,97.60956175298804,96.16533864541833,254
2,UHS,140.89,0.09197161757354257,80.2788844621514,0.33424119944391606,94.8207171314741,0.6002062583977037,99.800796812749,0.08210445468509975,99.601593625498,93.62549800796812,70
3,LVS,48.07,0.2770988310308182,92.82868525896414,0.36252834467120176,96.61354581673307,0.2811833688699359,89.2430278884462,0.025165280443591342,94.22310756972111,93.22709163346613,208
4,CAT,239.56,0.18598815101001587,86.45418326693226,0.36206504434841946,96.21513944223108,0.4697888328934274,98.40637450199203,0.01641987356273078,90.0398406374502,92.7788844621514,41
5,APA,46.68,0.7644057226012513,99.00398406374501,0.3331962437452876,94.42231075697211,0.3735026966907058,96.61354581673307,-0.0008561643835616195,81.07569721115537,92.77888446215138,214
6,OMC,81.57,0.15717556667130084,84.66135458167331,0.29329001755145323,92.23107569721115,0.3047275379565826,92.43027888446214,0.030745455027932467,96.21513944223108,91.38446215139442,122
7,HES,141.82,0.9402200977360904,99.800796812749,0.3534883676540903,95.61752988047809,0.30485386869574427,92.62948207171314,-0.00804919605961496,77.29083665338645,91.33466135458167,70
8,MRK,110.95,0.4942137095959629,96.81274900398405,0.21819329691746048,83.46613545816733,0.29685388740573115,91.43426294820716,0.017168558444332627,90.63745019920319,90.58764940239044,90
9,HWM,39.41,0.24165091367359803,90.83665338645417,0.24138104822833092,86.45418326693226,0.27561094028159894,88.64541832669322,0.026034886748242725,94.42231075697211,90.08964143426294,253
10,XOM,110.3,0.8740909894113007,99.601593625498,0.282332985719949,91.43426294820716,0.2734852971908275,88.44621513944223,-0.004512635379061325,79.2828685258964,89.69123505976094,90
11,AES,28.76,0.2168806221492583,89.2430278884462,0.3565845766333497,96.01593625498008,0.2802136657022034,89.04382470119522,0.001392757660167332,83.86454183266932,89.5418326693227,347
12,GILD,85.85,0.2362959794819508,90.23904382470118,0.40384442427661527,97.60956175298804,0.4031767201786127,97.41035856573704,-0.015221904860227007,72.70916334661354,89.49203187250995,116
13,AFL,71.94,0.2641100974176589,91.83266932270917,0.2949772379939193,92.43027888446214,0.28756747469251587,90.23904382470118,0.0004171881518564291,83.26693227091633,89.44223107569721,139
14,BA,190.49,-0.05379495330816597,60.75697211155378,0.3621996567505721,96.41434262948206,0.5732573505120582,99.40239043824701,0.08368415064284895,99.800796812749,89.09362549800797,52
15,CI,331.34,0.46107067280068814,96.41434262948206,0.2404511207824418,86.25498007968127,0.19824880786286125,74.7011952191235,0.027911900002109524,95.21912350597609,88.14741035856574,30
16,CPB,56.75,0.3484294064534525,94.6215139442231,0.18853892438798087,78.68525896414343,0.21371681794461608,79.08366533864542,0.05896622504198534,99.00398406374501,87.84860557768924,176
17,URI,355.42,0.06960787264136736,78.48605577689243,0.45449337043706,98.60557768924302,0.3157855767806901,93.62549800796812,-0.002805678693675984,80.0796812749004,87.69920318725099,28
18,AIG,63.24,0.13764946940273415,83.26693227091633,0.229094796171226,84.66135458167331,0.3386676827332191,95.0199203187251,0.007290271302580642,87.25099601593625,87.54980079681275,158
19,TJX,79.6,0.06731456415083459,77.88844621513944,0.4330413241589883,98.40637450199203,0.28669963160948986,89.8406374501992,-0.0017557060446451445,80.47808764940238,86.65338645418326,125
20,DE,428.76,0.2658717423568964,92.03187250996015,0.4301248140464167,98.20717131474103,0.2877276634392385,90.43824701195219,-0.026822970573174957,64.7410358565737,86.35458167330677,23
21,ROST,116.07,0.029375377468678465,74.10358565737052,0.636063018097194,99.800796812749,0.3809554969928792,96.81274900398405,-0.013619981525026748,73.50597609561753,86.05577689243027,86
22,CVX,179.49,0.5846236154738509,98.00796812749003,0.24579823329721817,87.45019920318725,0.25898523643587024,87.25099601593625,-0.01643925694558601,71.51394422310757,86.05577689243027,55
23,LW,89.36,0.4289163677764647,95.81673306772907,0.254314513468862,88.24701195219123,0.15811301192327631,62.15139442231075,0.03294416830424218,96.81274900398405,85.75697211155378,111
24,RE,331.27,0.23735176020169924,90.43824701195219,0.18041369175834143,77.88844621513944,0.2687296273472952,87.64940239043824,0.002815281225404087,84.8605577689243,85.20916334661354,30
25,EMR,96.06,0.06349294215333523,77.49003984063745,0.2163543052940411,82.86852589641434,0.3271126940553475,94.02390438247012,0.004391468005018773,85.85657370517927,85.0597609561753,104
26,LMT,486.49,0.396026994810059,95.21912350597609,0.13667029832309074,70.71713147410358,0.2672439235511901,87.45019920318725,0.005788831689718554,86.65338645418326,85.00996015936255,20
27,APD,308.26,0.03914298514436121,74.90039840637449,0.2854921951365974,91.63346613545816,0.33146567046462216,94.6215139442231,-0.006947757643193775,78.08764940239044,84.81075697211155,32
28,HCA,239.96,-0.056416064048571135,60.1593625498008,0.37759519047280055,97.01195219123505,0.30863955149809663,93.22709163346613,0.008575158519803727,87.45019920318725,84.4621513944223,41
29,GL,120.55,0.296836171563196,93.42629482071713,0.20376056598215572,81.27490039840637,0.21148716959212432,78.68525896414343,0.001162694128394648,83.66533864541832,84.26294820717132,82
30,SJM,158.46,0.2089215757330698,88.64541832669322,0.23399682272684785,85.2589641434263,0.16917555636553616,66.73306772908366,0.029362089125633428,96.01593625498008,84.16334661354581,63
31,PSX,104.08,0.4957998893384017,97.01195219123505,0.258135329329736,89.44223107569721,0.30075123132700865,91.63346613545816,-0.036653091447612085,55.57768924302788,83.41633466135458,96
32,ADM,92.85,0.3997979828436176,95.41832669322709,0.22602581454461407,84.4621513944223,0.15905014062143064,62.54980079681275,0.016754270696452078,90.23904382470118,83.16733067729083,107
33,ZBH,127.5,0.011990700797607444,72.11155378486055,0.19350732017823047,79.8804780876494,0.2218249560861738,81.87250996015936,0.03560448843168862,97.01195219123505,82.71912350597609,78
34,TPR,38.08,-0.033166354798495945,64.9402390438247,0.2566661386556841,88.84462151394422,0.3504551757400374,96.01593625498008,-0.0022507002324064773,80.2788844621514,82.5199203187251,262
35,ORLY,844.03,0.19512056978604697,87.25099601593625,0.3269242862533013,94.22310756972111,0.200014217672567,75.49800796812748,-0.015341001889918047,72.50996015936255,82.37051792828684,11
36,MPC,116.39,0.8662292516483234,99.40239043824701,0.3947942381899672,97.21115537848605,0.17908783034264353,70.11952191235059,-0.03193878399733852,61.155378486055774,81.97211155378486,85
37,TWTR,53.7,-0.02025177887246854,66.93227091633466,0.10402960526315796,65.13944223107569,0.34755332496863245,95.81673306772907,0.2758374910905204,100.0,81.97211155378486,186
38,HON,214.3,0.05423272224239195,76.49402390438246,0.24206826680762397,86.65338645418326,0.29614844921856087,91.03585657370517,-0.014214085284511624,73.30677290836653,81.87250996015936,46
39,OKE,65.7,0.18857878902455136,86.65338645418326,0.1946258202824556,80.0796812749004,0.3025944827093965,92.03187250996015,-0.022321428571428603,68.12749003984064,81.72310756972111,152
40,KHC,40.71,0.18175722160778185,86.05577689243027,0.07555858504997359,59.960159362549796,0.23335231885989915,84.2629482071713,0.03089389718916169,96.41434262948206,81.67330677290836,245
41,CAH,76.87,0.5407866490546223,97.60956175298804,0.4676709530219283,99.00398406374501,0.16021957687530097,63.147410358565736,-0.023928791370651736,66.93227091633466,81.67330677290836,130
42,WYNN,82.47,-0.03022107243650052,65.33864541832669,0.4174974217944312,98.00796812749003,0.3084245597334603,93.02788844621513,-0.01868158019990485,70.11952191235059,81.62350597609561,121
43,BKR,29.53,0.25962957591475644,91.43426294820716,0.029691232107676543,47.808764940239044,0.4184022440823856,98.20717131474103,0.009227614490772362,87.84860557768924,81.32470119521912,338
44,DHI,89.14,-0.1683196399348389,44.42231075697211,0.2793831863157381,91.03585657370517,0.3273927766245446,94.22310756972111,0.028143021914648125,95.61752988047809,81.32470119521912,112
45,HIG,75.83,0.11719579876626708,81.87250996015936,0.15808298551136324,75.0996015936255,0.2311503942019197,83.46613545816733,0.002644453259288637,84.66135458167331,81.27490039840637,131
46,CAG,38.7,0.1751594967766621,85.65737051792829,0.14086263365338425,71.31474103585657,0.19689364347414617,74.3027888446215,0.02299762093576541,93.42629482071713,81.17529880478088,258
47,CB,220.6,0.15970798069396364,85.0597609561753,0.12370081644046628,68.32669322709162,0.21754814724053692,80.67729083665338,0.014326091584542011,89.44223107569721,80.87649402390437,45
48,NOC,545.61,0.4254523755841413,95.61752988047809,0.1257387525161533,68.52589641434263,0.16008249702330324,62.948207171314735,0.02887045068828975,95.81673306772907,80.72709163346613,18
49,BSX,46.27,0.08921845574387954,79.6812749003984,0.21731123388581963,83.26693227091633,0.19468112574231888,73.50597609561753,0.0032523850823937828,85.2589641434263,80.42828685258964,216
